,alpha,n,van_bau,efron_bau,strat_bau,ps_min_bau,pm_bau,pm_kk,pm_kk_pbs,van_linear,efron_lin,strat_lin,ps_min_lin,pm_lin,pm_lin_kk,pm_lin_kk_pbs,van_exact,efron_exact,strat_exact,ps_min_exact,pm_exact,pm_kk_exact
power,0.2,50,0.134,0.138,0.059,0.077,0.076,0.379,0.324503311,0.225,0.263,0.239,0.236,0.215,0.358,,0.154,0.162,0.064,0.066,0.255,0.255613126
pct_trt_diff,0.2,50,0.05546,0.01396,0.01494,0.0059,0.0164,0.01772,0.0173,0.05588,0.01348,0.0164,0.00622,0.01772,0.017,,0.05556,0.01358,0.01462,0.00604,0.01732,0.01766
res_end_prop_avg,0.2,50,,,,,0.10404,0.10612,0.1058,,,,,0.10608,0.1042,,,,,,0.10248,0.10484
ssqr_over_sum,0.2,50,,,,,,0.726898598,,,,,,,,,,,,,,
ssqr_eq_ssqd_pval,0.2,50,,,,,,0.049256191,,,,,,,,,,,,,,
match_corr,0.2,50,,,,,,0.629078153,,,,,,,,,,,,,,
corr_eq_zero_pval,0.2,50,,,,,,0.006375469,,,,,,,,,,,,,,
pct_only_matches,0.2,50,,,,,,0.426,,,,,,,,,,,,,,
avg_max_std_diff_bal,0.05,100,0.82202116,0.790293607,0.370972675,0.385309662,0.503816395,0.509647139,0.480037207,0.817498406,0.845278876,0.402232664,0.375462463,0.484566762,0.509359337,,0.783903386,0.826785428,0.778423853,0.833320579,0.47814316,0.473437837
avg_max_ks_stat,0.05,100,0.166625826,0.164616832,0.12077591,0.120461737,0.116491996,0.116760123,0.116086491,0.165516414,0.166298337,0.122029159,0.119826058,0.115444624,0.118164996,,0.164576883,0.165085324,0.165381619,0.167081879,0.115195183,0.115997111
avg_beta_T,0.05,100,0.96064346,0.970912614,1.003636515,1.021540184,0.967129379,1.01216671,,1.002268864,1.018673841,0.993382109,0.983899073,0.973035936,1.000459992,,,,,,,
avg_abs_bias,0.05,100,0.652953799,0.62778505,0.465120272,0.473217013,0.466688516,0.332399253,,0.445004898,0.465007367,0.401189732,0.412322936,0.383989489,0.330981499,,,,,,,
std_err_beta_T,0.05,100,0.806808141,0.782161013,0.574506272,0.598200805,0.585309907,0.416401952,,0.559314128,0.58553587,0.499374065,0.519450314,0.476329148,0.413134854,,,,,,,
power,0.05,100,0.237,0.227,0.167,0.174,0.142,0.704,0.701701702,0.425,0.453,0.431,0.422,0.405,0.702,,0.231,0.245,0.165,0.183,0.382,0.653306613
pct_trt_diff,0.05,100,0.03803,0.00683,0.00765,0.00315,0.01865,0.01839,0.0173,0.03965,0.00677,0.00807,0.0029,0.01775,0.01662,,0.04118,0.00686,0.00778,0.003,0.01719,0.01738
res_end_prop_avg,0.05,100,,,,,0.19444,0.19344,0.1936,,,,,0.1929,0.19176,,,,,,0.19172,0.194
ssqr_over_sum,0.05,100,,,,,,0.799355963,,,,,,,,,,,,,,
ssqr_eq_ssqd_pval,0.05,100,,,,,,9.02E-05,,,,,,,,,,,,,,
match_corr,0.05,100,,,,,,0.709983848,,,,,,,,,,,,,,
corr_eq_zero_pval,0.05,100,,,,,,4.03E-05,,,,,,,,,,,,,,
pct_only_matches,0.05,100,,,,,,0,,,,,,,,,,,,,,
avg_max_std_diff_bal,0.075,100,0.82202116,0.790293607,0.370972675,0.385309662,0.462259623,0.449664686,0.44795538,0.817498406,0.845278876,0.402232664,0.375462463,0.457416239,0.453213378,,0.783903386,0.826785428,0.778423853,0.833320579,0.441797136,0.467989657
avg_max_ks_stat,0.075,100,0.166625826,0.164616832,0.12077591,0.120461737,0.114719215,0.114958522,0.115700254,0.165516414,0.166298337,0.122029159,0.119826058,0.115433075,0.11558664,,0.164576883,0.165085324,0.165381619,0.167081879,0.11493927,0.116426774
avg_beta_T,0.075,100,0.96064346,0.970912614,1.003636515,1.021540184,1.00275516,1.013382329,,1.002268864,1.018673841,0.993382109,0.983899073,1.007770452,0.986713991,,,,,,,
avg_abs_bias,0.075,100,0.652953799,0.62778505,0.465120272,0.473217013,0.448414186,0.318645942,,0.445004898,0.465007367,0.401189732,0.412322936,0.393640571,0.313165731,,,,,,,
std_err_beta_T,0.075,100,0.806808141,0.782161013,0.574506272,0.598200805,0.563035618,0.399445183,,0.559314128,0.58553587,0.499374065,0.519450314,0.490524665,0.394524504,,,,,,,
power,0.075,100,0.237,0.227,0.167,0.174,0.173,0.713,0.693629929,0.425,0.453,0.431,0.422,0.429,0.711,,0.231,0.245,0.165,0.183,0.411,0.695564516
pct_trt_diff,0.075,100,0.03803,0.00683,0.00765,0.00315,0.01496,0.0147,0.01456,0.03965,0.00677,0.00807,0.0029,0.01468,0.0147,,0.04118,0.00686,0.00778,0.003,0.01456,0.01464
res_end_prop_avg,0.075,100,,,,,0.14224,0.14112,0.14116,,,,,0.13976,0.14196,,,,,,0.141,0.14106
ssqr_over_sum,0.075,100,,,,,,0.803514915,,,,,,,,,,,,,,
ssqr_eq_ssqd_pval,0.075,100,,,,,,0.000516711,,,,,,,,,,,,,,
match_corr,0.075,100,,,,,,0.708666088,,,,,,,,,,,,,,
corr_eq_zero_pval,0.075,100,,,,,,2.65E-05,,,,,,,,,,,,,,
pct_only_matches,0.075,100,,,,,,0.007,,,,,,,,,,,,,,
avg_max_std_diff_bal,0.1,100,0.82202116,0.790293607,0.370972675,0.385309662,0.446137888,0.418561417,0.42224859,0.817498406,0.845278876,0.402232664,0.375462463,0.42208064,0.423466965,,0.783903386,0.826785428,0.778423853,0.833320579,0.428909787,0.426499971
avg_max_ks_stat,0.1,100,0.166625826,0.164616832,0.12077591,0.120461737,0.116152293,0.115388866,0.114944378,0.165516414,0.166298337,0.122029159,0.119826058,0.116928019,0.116631622,,0.164576883,0.165085324,0.165381619,0.167081879,0.117031793,0.11543007
avg_beta_T,0.1,100,0.96064346,0.970912614,1.003636515,1.021540184,0.993561751,0.989159923,,1.002268864,1.018673841,0.993382109,0.983899073,0.999259068,1.007472739,,,,,,,
avg_abs_bias,0.1,100,0.652953799,0.62778505,0.465120272,0.473217013,0.432958644,0.336111132,,0.445004898,0.465007367,0.401189732,0.412322936,0.376324086,0.308348715,,,,,,,
std_err_beta_T,0.1,100,0.806808141,0.782161013,0.574506272,0.598200805,0.544965405,0.422595871,,0.559314128,0.58553587,0.499374065,0.519450314,0.467569916,0.391014251,,,,,,,
