,alpha,n,van_bau,efron_bau,strat_bau,ps_min_bau,pm_bau,pm_kk,pm_kk_pbs,van_linear,efron_lin,strat_lin,ps_min_lin,pm_lin,pm_lin_kk,pm_lin_kk_pbs,van_exact,efron_exact,strat_exact,ps_min_exact,pm_exact,pm_kk_exact
ssqr_over_sum,0.05,100,,,,,,0.331209643,,,,,,,,,,,,,,
ssqr_eq_ssqd_pval,0.05,100,,,,,,0.5032507,,,,,,,,,,,,,,
match_corr,0.05,100,,,,,,0.005040835,,,,,,,,,,,,,,
corr_eq_zero_pval,0.05,100,,,,,,0.490981635,,,,,,,,,,,,,,
pct_only_matches,0.05,100,,,,,,0,,,,,,,,,,,,,,
avg_max_std_diff_bal,0.075,100,0.793036049,0.785536559,0.400753824,0.375953219,0.454382189,0.447267189,0.470465919,0.768846019,0.786505662,0.41699708,0.37499336,0.46991653,0.44426064,0.464884818,0.80824479,0.799191763,0.778442704,0.792217705,0.450081395,0.475560299
avg_max_ks_stat,0.075,100,0.164555059,0.164454451,0.119646279,0.118732805,0.116180913,0.115374793,0.118316732,0.162941409,0.163067825,0.120601692,0.119054022,0.116906135,0.115167087,0.116981625,0.164743762,0.160428241,0.163371329,0.162930823,0.114798532,0.117619336
avg_beta_T,0.075,100,0.990464954,0.986895539,0.992716044,0.998224533,1.016724997,1.003542087,,1.007481916,0.990940033,0.986837579,0.996928169,0.980316717,1.004588042,1.001369327,,,,,,
avg_abs_bias,0.075,100,0.267868797,0.285834261,0.26905036,0.281292454,0.278279691,0.281246341,,0.282838332,0.278853225,0.284102975,0.279333889,0.284188637,0.29134032,0.292658445,,,,,,
std_err_beta_T,0.075,100,0.336815989,0.358150522,0.338866739,0.351313868,0.349779605,0.350229038,,0.353360732,0.349229614,0.353687922,0.351615908,0.356333132,0.363636703,0.365356533,,,,,,
power,0.075,100,0.812,0.799,0.818,0.801,0.83,0.834,0.792510121,0.808,0.807,0.799,0.794,0.795,0.795,0.733,0.795,0.81,0.827,0.788,0.8,0.780808081
