,alpha,n,van_bau,efron_bau,strat_bau,ps_min_bau,pm_bau,pm_kk,pm_kk_pbs,van_linear,efron_lin,strat_lin,ps_min_lin,pm_lin,pm_lin_kk,pm_lin_kk_pbs,van_exact,efron_exact,strat_exact,ps_min_exact,pm_exact,pm_kk_exact
avg_max_ks_stat,0.1,50,0.23058297,0.230016956,0.170171966,0.165703333,0.172315942,0.169026039,0.171933325,0.230885712,0.229903964,0.168969104,0.165053462,0.171292456,0.171208314,0.172789012,0.233867999,0.229216286,0.230351395,0.228359582,0.171564705,0.170593772
avg_beta_T,0.1,50,0.97365709,0.961647413,0.986836189,1.018045104,0.996573373,0.977935873,,1.010861765,1.004623381,0.984927325,1.009350662,0.994167622,1.048682102,1.011207876,,,,,,
avg_abs_bias,0.1,50,0.800370484,0.771572532,0.650172588,0.628691885,0.603841303,0.466855696,,0.613214719,0.606549995,0.545086511,0.545710587,0.5001429,0.489010892,0.469739897,,,,,,
std_err_beta_T,0.1,50,1.010163114,0.977736128,0.801714027,0.78464578,0.761465918,0.585279073,,0.782364018,0.759417699,0.681848292,0.682976013,0.633084278,0.643338156,0.592783406,,,,,,
power,0.1,50,0.162,0.168,0.121,0.126,0.119,0.405,0.369819341,0.249,0.265,0.252,0.253,0.211,0.43,0.363,0.179,0.192,0.124,0.119,0.249,0.35237069
pct_trt_diff,0.1,50,0.0553,0.01402,0.01634,0.00582,0.02322,0.0234,0.02378,0.05732,0.01358,0.0155,0.00592,0.02408,0.02334,0.02342,0.05458,0.01284,0.016,0.00574,0.02364,0.02306
res_end_prop_avg,0.1,50,,,,,0.18832,0.18928,0.19124,,,,,0.19092,0.18952,0.19328,,,,,0.19056,0.18908
ssqr_over_sum,0.1,50,,,,,,0.696098498,,,,,,,,,,,,,,
ssqr_eq_ssqd_pval,0.1,50,,,,,,0.041413646,,,,,,,,,,,,,,
match_corr,0.1,50,,,,,,0.585915424,,,,,,,,,,,,,,
corr_eq_zero_pval,0.1,50,,,,,,0.025743971,,,,,,,,,,,,,,
pct_only_matches,0.1,50,,,,,,0.058,,,,,,,,,,,,,,
avg_max_std_diff_bal,0.2,50,0.808206459,0.83133468,0.421694385,0.398914527,0.437094089,0.453294433,0.451389252,0.799683186,0.816903437,0.417152779,0.39818174,0.453994723,0.452830357,0.462522546,0.818332366,0.816997228,0.83680204,0.836933784,0.455159847,0.441600858
avg_max_ks_stat,0.2,50,0.23058297,0.230016956,0.170171966,0.165703333,0.172878225,0.174124746,0.174420286,0.230885712,0.229903964,0.168969104,0.165053462,0.174577833,0.174282463,0.173757502,0.233867999,0.229216286,0.230351395,0.228359582,0.174769876,0.174344061
avg_beta_T,0.2,50,0.97365709,0.961647413,0.986836189,1.018045104,1.031764124,1.010931567,,1.010861765,1.004623381,0.984927325,1.009350662,0.96394002,1.015168389,1.004604904,,,,,,
