"","alpha","n","van_bau","efron_bau","strat_bau","ps_min_bau","pm_bau","pm_kk","pm_kk_pbs","van_linear","efron_lin","strat_lin","ps_min_lin","pm_lin","pm_lin_kk","pm_lin_kk_pbs","van_exact","efron_exact","strat_exact","ps_min_exact","pm_exact","pm_kk_exact"
"pct_only_matches",0.2,50,NA,NA,NA,NA,NA,0.423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"avg_max_std_diff_bal",0.05,100,0.828002239743813,0.829150700363351,0.399807178442674,0.37492109223556,0.490410584416918,0.49939005471342,0.48736920771621,0.81006232502379,0.812228954620552,0.400787508940252,0.397264081362034,0.513914968412853,0.484348771597353,0.5163536315686,0.824303783174277,0.800574146471467,0.798646985368377,0.816748395675943,0.527388662178811,0.498045042677911
"avg_max_ks_stat",0.05,100,0.166615171605342,0.168447872750209,0.120534464051161,0.118235371456275,0.115390033294642,0.116679319413139,0.116437591964409,0.16592959714403,0.164573227864605,0.121196666945993,0.119331992104534,0.11688916164261,0.115985138565745,0.118576059047645,0.166262289880492,0.164346824074447,0.164471271322382,0.16428021339305,0.117389723557544,0.115895779900701
"avg_beta_T",0.05,100,0.0431839137898002,0.00882712504356193,0.00085915552152429,-0.0112806701052297,0.00194536055832162,-0.00778255455720585,NA,-0.0259046848148556,0.0198894085193085,0.000513043387166349,0.00366169218203436,-0.0290053892243659,-0.0202506100809999,-0.00983527125393858,NA,NA,NA,NA,NA,NA
"avg_abs_bias",0.05,100,0.624951178777047,0.6259450149466,0.455069647120083,0.477795671436735,0.488241026334453,0.327250616916109,NA,0.428788588901196,0.46159502735354,0.395859017885571,0.418162329388163,0.379175845534179,0.324004946731234,0.337874319643835,NA,NA,NA,NA,NA,NA
"std_err_beta_T",0.05,100,0.789971875529316,0.799277070233936,0.574344735957579,0.608261858544063,0.608198690696361,0.41072252875257,NA,0.548981705263293,0.573319807038098,0.502640967611407,0.527952819510386,0.471499755605381,0.403730649371531,0.420897218851097,NA,NA,NA,NA,NA,NA
"power",0.05,100,0.053,0.054,0.009,0.013,0.008,0.059,0.054,0.047,0.05,0.036,0.026,0.016,0.058,0.639,0.055,0.046,0.001,0.008,0.048,0.0640640640640641
"pct_trt_diff",0.05,100,0.04015,0.00705000000000001,0.00757000000000001,0.00284,0.0171,0.01798,0.01754,0.04013,0.00632000000000001,0.00785000000000001,0.00324,0.01718,0.01756,0.01803,0.04072,0.00658000000000001,0.00769000000000001,0.00315,0.01772,0.01667
"res_end_prop_avg",0.05,100,NA,NA,NA,NA,0.19026,0.19452,0.19292,NA,NA,NA,NA,0.19374,0.19276,0.19464,NA,NA,NA,NA,0.1941,0.1931
"ssqr_over_sum",0.05,100,NA,NA,NA,NA,NA,0.801533988659607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ssqr_eq_ssqd_pval",0.05,100,NA,NA,NA,NA,NA,7.28605640728977e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"match_corr",0.05,100,NA,NA,NA,NA,NA,0.707437728586449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"corr_eq_zero_pval",0.05,100,NA,NA,NA,NA,NA,0.000336209112300292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pct_only_matches",0.05,100,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"avg_max_std_diff_bal",0.075,100,0.828002239743813,0.829150700363351,0.399807178442674,0.37492109223556,0.460040117975101,0.446930240181682,0.447794895688878,0.81006232502379,0.812228954620552,0.400787508940252,0.397264081362034,0.437965000922823,0.436498604379906,0.467998567916471,0.824303783174277,0.800574146471467,0.798646985368377,0.816748395675943,0.456153335620761,0.467529408441941
"avg_max_ks_stat",0.075,100,0.166615171605342,0.168447872750209,0.120534464051161,0.118235371456275,0.117127501442966,0.114951434262406,0.116388477921023,0.16592959714403,0.164573227864605,0.121196666945993,0.119331992104534,0.115010652639462,0.115102400817186,0.1160717588945,0.166262289880492,0.164346824074447,0.164471271322382,0.16428021339305,0.116507691055129,0.116665975726301
"avg_beta_T",0.075,100,0.0431839137898002,0.00882712504356193,0.00085915552152429,-0.0112806701052297,-0.0432426800421113,-0.00065599753226036,NA,-0.0259046848148556,0.0198894085193085,0.000513043387166349,0.00366169218203436,0.0015083973465633,-0.00844471998125879,0.0190451911218842,NA,NA,NA,NA,NA,NA
"avg_abs_bias",0.075,100,0.624951178777047,0.6259450149466,0.455069647120083,0.477795671436735,0.445066717730062,0.321873885531839,NA,0.428788588901196,0.46159502735354,0.395859017885571,0.418162329388163,0.379628500242118,0.326795482456434,0.332800560576157,NA,NA,NA,NA,NA,NA
"std_err_beta_T",0.075,100,0.789971875529316,0.799277070233936,0.574344735957579,0.608261858544063,0.561689299023049,0.411511148252494,NA,0.548981705263293,0.573319807038098,0.502640967611407,0.527952819510386,0.475790079942372,0.40790352537111,0.416156860846605,NA,NA,NA,NA,NA,NA
"power",0.075,100,0.053,0.054,0.009,0.013,0.008,0.068,0.0634441087613293,0.047,0.05,0.036,0.026,0.021,0.061,0.672,0.055,0.046,0.001,0.008,0.047,0.0455005055611729
